영역 | 변수 | 커버리지 | std | 라벨 | 선택지
정치경제 | GOVSPD2 | 1.00 | 0.79 | 정부지출의 증감2: 보건 | 1=훨씬 더 늘려야 / 2=다소 더 늘려야 / 3=지금만큼 그대로 / 4=다소 더 줄여야 / 5=훨씬 더 줄여야
정치경제 | GOVSPD3 | 1.00 | 0.74 | 정부지출의 증감3: 치안 | 1=훨씬 더 늘려야 / 2=다소 더 늘려야 / 3=지금만큼 그대로 / 4=다소 더 줄여야 / 5=훨씬 더 줄여야
가족젠더 | SUCDPAED | 1.00 | 0.98 | 인생 성공 요인2: 부모 교육 | 1=절대적으로 중요하다 / 2=매우 중요하다 / 3=대체로 중요하다 / 4=별로 중요하지 않다 / 5=전혀 중요하지 않다
가족젠더 | PATRACH223 | 1.00 | 1.36 | 가부장제 가치에 대한 인식2: 자식은 부모에게 명예가 될 수 있는 일을 하려고 노력 | 1=전적으로 반대 / 2=상당히 반대 / 3=약간 반대 / 4=반대도 찬성도 아님 / 5=약간 찬성 / 6=상당히 찬성 / 7=전적으로 찬성
종교전통 | KRANCSTR | 1.00 | 0.73 | 한국인 자격요건8: 한국인 조상을 가지고 있는것 | 1=매우 중요 / 2=다소 중요 / 3=별로 중요하지 않음 / 4=전혀 중요하지 않음
종교전통 | KRSHAMED | 1.00 | 1.02 | 국가자긍심2: 오늘날 한국에는 내가 한국을 부끄럽게 여기도록 만드는 것이 있다 | 1=매우 찬성 / 2=다소 찬성 / 3=찬성도 반대도 아님 / 4=다소 반대 / 5=매우 반대
신뢰사회 | POLOPTS | 1.00 | 0.94 | 시민 권리 중요성에 대한 인식5: 공공정책 결정 시 국민 참여 | 2=2 / 3=3 / 4=4 / 5=5 / 6=6 / 7=매우 중요하다
신뢰사회 | CONMEDIC | 1.00 | 0.60 | 기관 지도층에 대한 신뢰7: 의료계 | 1=매우 신뢰 / 2=다소 신뢰 / 3=거의 신뢰하지 않음
문화생활 | HEALTH23 | 1.00 | 0.78 | 주관적 건강 상태 | 1=매우 좋다 / 2=좋다 / 3=보통이다 / 4=나쁘다 / 5=매우 나쁘다
문화생활 | LIFESAT | 1.00 | 0.80 | 생활만족도 | 1=매우 만족 / 2=2 / 3=3 / 4=4 / 5=매우 불만족
