a,b,wave,nA,nB,ncat,focal_cat,focal_pp,mean_d,p,lab
LAWHARSHA,LAWHARSHB,2025,594,588,5,2.0,-51.88964474678761,1.9084724799010515,2.736939470614588e-174,법원의 범죄자 처벌에 대한 인식(A형)
RUNELECTA,RUNELECTB,2018,500,493,7,7.0,-4.86815415821501,-0.3117768762677482,2.1584710882111923e-05,선거 입후보에 제한을 두었으면 하는 사람(A형)
DISCRNUMA,DISCRNUMB,2016,511,513,7,4.0,-5.778525461294026,-0.20650560953372787,0.003153945816467701,국가 차원의 보호가 필요 없는 집단 수(A형)
NUKPLT10A,NUKPLT10B,2018,484,474,3,3.0,11.793423300903166,0.21692471318478224,9.439210968752322e-06,원자력발전10: 원자력 발전 정책에 대한 의견(A형)
NUKPLT10A,NUKPLT10B,2021,558,573,3,1.0,2.836420274353055,-0.03947343729475117,0.48375250948353044,원자력발전10: 원자력 발전 정책에 대한 의견(A형)
NUKPLT10A,NUKPLT10B,2023,594,569,3,1.0,10.43060955187493,-0.15008905694318697,6.777547847393137e-05,원자력발전10: 원자력 발전 정책에 대한 의견(A형)
SAMPTHOUA,SAMPTNTHB25,2025,581,574,2,1.0,-3.952394945636206,0.03952394945636195,0.14348430666905174,"여론조사의 대표성에 대한 의견(A형): 전국 무작위 1,000명 "
ELEFRAUDA,ELEFRAUDB,2025,596,595,3,3.0,7.010602898877671,0.09738875415938186,0.020274168945593484,부정선거 의혹에 대한 인식(A형)
PROUDDEM16A,PROUDDEM16B,2016,519,517,4,2.0,-5.945819031540345,-0.05601457944343169,0.014131406302697156,한국의 민주주의에 대한 자긍심(A형)
PROUDDEM16A,PROUDDEM16B,2018,513,507,4,2.0,26.01358755204909,-0.7470154676632408,2.3939551149614685e-43,한국의 민주주의에 대한 자긍심(A형)
PROUDDEM16A,PROUDDEM16B,2021,591,607,4,3.0,-33.11255878261791,-0.6565673459944192,4.8327821910265264e-55,한국의 민주주의에 대한 자긍심(A형)
PROUDPOL16A,PROUDPOL16B,2016,519,513,4,2.0,-3.9301851288465195,0.11974219427824506,0.15886582967256657,한국의 국제 정치 영향력에 대한 자긍심(A형)
PROUDPOL16A,PROUDPOL16B,2018,510,505,4,3.0,-5.340710541642402,-0.12141331780236841,0.10203468860556501,한국의 국제 정치 영향력에 대한 자긍심(A형)
PROUDPOL16A,PROUDPOL16B,2021,586,603,4,2.0,9.225488031967583,-0.3403432213222848,1.8999665931653436e-11,한국의 국제 정치 영향력에 대한 자긍심(A형)
PROUDECO16A,PROUDECO16B,2016,521,519,4,3.0,-18.42499417527431,-0.5289738497553618,5.070972192933565e-23,한국의 경제적 성취에 대한 자긍심(A형)
PROUDECO16A,PROUDECO16B,2018,514,504,4,3.0,-27.268235439441668,-0.8648323142486567,5.602495295527926e-53,한국의 경제적 성취에 대한 자긍심(A형)
PROUDECO16A,PROUDECO16B,2021,591,607,4,2.0,28.9172848075331,-0.8074661938969219,6.968396562495242e-61,한국의 경제적 성취에 대한 자긍심(A형)
PROUDSSS16A,PROUDSSS16B,2016,522,513,4,2.0,-9.944881360489344,0.17419506620958547,0.0005054656854154379,한국의 사회보장제도에 대한 자긍심(A형)
PROUDSSS16A,PROUDSSS16B,2018,513,508,4,2.0,12.944544212675169,-0.3793034642599502,1.1863641579321669e-11,한국의 사회보장제도에 대한 자긍심(A형)
PROUDSSS16A,PROUDSSS16B,2021,593,610,4,2.0,36.66574516904874,-0.8413485196140766,1.3759189257299505e-75,한국의 사회보장제도에 대한 자긍심(A형)
PROUDSCI16A,PROUDSCI16B,2016,521,512,4,3.0,-31.014950215930902,-0.8840608505278311,7.314971014808858e-58,한국의 과학기술 성취에 대한 자긍심(A형)
PROUDSCI16A,PROUDSCI16B,2018,508,499,4,2.0,32.958831047922615,-1.1510619664525905,5.202180148101051e-81,한국의 과학기술 성취에 대한 자긍심(A형)
PROUDSCI16A,PROUDSCI16B,2021,591,608,4,3.0,-40.35894781369668,-1.1667919004363703,4.442239301430425e-115,한국의 과학기술 성취에 대한 자긍심(A형)
PROUDSPT16A,PROUDSPT16B,2016,520,514,4,4.0,-36.22044298114337,-1.3461388805746781,2.433234157352422e-102,한국의 스포츠 성취에 대한 자긍심(A형)
PROUDSPT16A,PROUDSPT16B,2018,510,503,4,2.0,36.6908353798776,-1.3102171286009434,3.0620257266086014e-102,한국의 스포츠 성취에 대한 자긍심(A형)
PROUDSPT16A,PROUDSPT16B,2021,591,607,4,2.0,36.58892168914832,-1.3233510900743441,4.339298663669248e-124,한국의 스포츠 성취에 대한 자긍심(A형)
PROUDART16A,PROUDART16B,2016,513,505,4,2.0,20.474784320537314,-0.6820489066450501,4.483955322680833e-33,한국의 예술과 문학 성취에 대한 자긍심(A형)
PROUDART16A,PROUDART16B,2018,510,498,4,2.0,21.96787148594378,-0.7961020552799432,2.3469975405520947e-43,한국의 예술과 문학 성취에 대한 자긍심(A형)
PROUDART16A,PROUDART16B,2021,589,604,4,2.0,40.28603874565714,-1.1584231889272423,1.4182593316405752e-111,한국의 예술과 문학 성취에 대한 자긍심(A형)
PROUDMIL16A,PROUDMIL16B,2016,515,516,4,1.0,3.7058779257921284,-0.1191916911266655,0.10806921973376703,한국의 군사력에 대한 자긍심(A형)
PROUDMIL16A,PROUDMIL16B,2018,507,497,4,1.0,9.33252374205787,-0.32142361069771663,6.793985373110979e-08,한국의 군사력에 대한 자긍심(A형)
PROUDMIL16A,PROUDMIL16B,2021,589,600,4,3.0,-13.855687606112054,-0.4020769666100734,5.451723112623384e-18,한국의 군사력에 대한 자긍심(A형)
PROUDHIS16A,PROUDHIS16B,2016,517,513,4,4.0,-24.410208844699323,-0.9164658907100116,1.3949990554154525e-49,한국의 역사에 대한 자긍심(A형)
PROUDHIS16A,PROUDHIS16B,2018,513,500,4,1.0,26.56374269005848,-0.9936452241715399,2.406181370407126e-55,한국의 역사에 대한 자긍심(A형)
PROUDHIS16A,PROUDHIS16B,2021,589,608,4,2.0,33.70649405772496,-0.9567062818336161,2.2283413170289966e-78,한국의 역사에 대한 자긍심(A형)
PROUDGRP16A,PROUDGRP16B,2016,515,514,4,2.0,-30.389105058365757,0.7160741944014202,1.4749502963622865e-40,한국사회의 공정성에 대한 자긍심(A형)
PROUDGRP16A,PROUDGRP16B,2018,511,499,4,3.0,19.683986368039402,0.4374031820980515,3.3486992525477196e-17,한국사회의 공정성에 대한 자긍심(A형)
PROUDGRP16A,PROUDGRP16B,2021,589,606,4,2.0,16.765844665960657,-0.2275098477589692,6.991263404843166e-09,한국사회의 공정성에 대한 자긍심(A형)
