role,study,task,condA,condB,subtype,focal_cat,human_pp,nA,nB,align_rule,n_llm_per_cond,noprofile_arm
real,s43kb,5,2,3,톤-정중/거침,1,41.14,738,740,,120,True
real,s2rd5,0,0,3,워딩-정의추가,5,-36.29,385,405,,120,True
real,ye2ej,5,6,9,라벨-인물성별,7,17.15,249,246,,120,True
real,ar9e3,0,2,3,워딩-질문문구,4,16.98,380,413,,120,True
real,xym9d,1,1,5,워딩-초당파,1,13.49,352,379,,120,True
real,kv3sd,1,0,1,라벨-채권기관,5,13.0,1718,1702,,120,True
real,fct42,1,0,1,라벨-용어(racism),2,10.62,2016,2007,,120,True
real,yp736,0,1,2,단서-정파,0,7.0,1286,1307,,300,False
real,4rqy5,0,0,1,워딩-묘사추가,2,7.05,1595,1608,,300,False
real,m52pd,5,0,3,라벨-이름성별,7,7.74,577,612,,300,True
real,zsekp,2,0,1,형식-숫자/문자등급,6,-7.49,799,736,,300,False
real,j38gd,0,0,1,워딩-무의견옵션,1,-7.12,1375,1226,,300,False
real,fxcn4,3,1,2,라벨-인종정체성,6,6.49,524,519,,300,False
real,xweq8,1,0,3,워딩-집단명시,1,-6.5,1577,1647,,300,False
real,52ymc,3,1,2,워딩-성별단어,4,-7.99,1262,1187,,300,True
real,xtvu5,0,0,1,워딩-맥락명시,4,-8.52,1056,1056,,300,True
real,j6xgs,0,0,1,워딩-방향반전,2,5.0,1179,1190,reverse_B(8-x),300,False
ref,ak35q,8,6,8,정보-가격공개(참고),3,33.37,242,231,,120,False
null,nb4xg,0,6,9,라벨-인종(위약),5,1.85,1325,1316,,120,False
null,a7uk3,4,2,3,라벨-정당(위약),3,-1.73,1101,1095,,120,False
null,ejms3,1,2,3,라벨-정당(위약),5,1.07,1029,1002,,120,False
null,kwfs3,0,0,2,라벨-집단명(위약),1,0.7,1152,946,,120,False
null,egmxd,0,0,1,형식-라벨종류(위약),1,0.0,23338,23394,,120,False
null,xfmrn,1,0,2,워딩-리마인더(위약),3,1.44,1609,1648,,120,False
null,3bzxg,2,0,3,워딩-주의문구(위약),1,0.19,3290,1652,,120,False
null,hz5rt,0,0,1,내용-논거문장(위약),1,0.72,3309,3455,,120,False
null,nj5dx,5,0,1,프레임-특권/불리(위약),6,1.5,1289,1292,,120,False
null,e2pyb,1,0,2,프레임-격차종류(위약),5,1.63,1063,1050,,120,False
null,q8ra3,0,1,2,프레임-국제/미국(위약),2,-1.79,1178,1164,,120,False
null,rs65g,0,2,3,내용-가격옵션(위약),1,1.02,1825,1847,,120,False
null,v6kqy,1,1,3,내용-차종(위약),2,-0.45,4319,4270,,120,False
null,dehmv,0,3,5,내용-후보속성(위약),1,-1.12,1558,1557,,120,False
null,waq4m,0,0,2,내용-논거문단(위약),3,1.11,1394,1476,,120,False
null,c38xe,2,0,2,내용-후보속성(위약),4,1.86,1227,1238,,120,False
null,b3ve6,0,3,4,내용-프로필속성(위약),2,0.12,1713,1713,,120,False
null,ervm8,0,1,2,워딩-검증안내(위약),1,1.76,844,830,,120,False
null,3jwnf,2,1,2,프레임-피해자집단(위약),4,-1.41,1004,999,,120,False
null,jmtyn,4,1,3,내용-정책서술(위약),1,-1.19,892,846,,120,False
