var,label,dom,c2023,n_waves
SEX,응답자 성별,기타,1.0,4
AGE,응답자 연령,기타,1.0,4
MARITAL,응답자 혼인상태,기타,1.0,4
EMPLY,응답자 취업 여부,기타,1.0,4
EDUC,응답자 학력: 최종학교,교육,1.0,4
GRADUATE,응답자 학력: 최종학교 졸업여부,교육,0.98,4
SPEDUC,배우자 학력: 최종학교,교육,0.65,4
SPGRAD,배우자 학력: 최종학교 졸업여부,교육,0.64,4
PAEDUC,부친 학력: 최종학교,교육,0.96,4
PAGRAD,부친 학력: 최종학교 졸업여부,교육,0.85,4
MAEDUC,모친 학력: 최종학교,교육,0.97,4
MAGRAD,모친 학력: 최종학교 졸업여부,교육,0.78,4
FBIRTHPL,아버지 태어난 국가,이민·다문화·국가정체성,1.0,4
MBIRTHPL,어머니 태어난 국가,이민·다문화·국가정체성,1.0,4
FAMILY16,부모 동거 여부: 16살,가족·젠더·출산,1.0,3
PAIND16A,"부친 산업_R16세 당시 (KSIC_9, 1자리)",기타,0.87,3
PAIND16B,"부친 산업_R16세 당시 (KSIC_9, 2자리)",기타,0.85,3
PAOCC16A,"부친 직업_R16세 당시 (KSCO_6, 1자리)",노동·직업,0.88,3
PAOCC16B,"부친 직업_R16세 당시 (KSCO_6, 2자리)",노동·직업,0.88,3
PAOCC16C,"부친 직업_R16세 당시 (KSCO_6, 3자리)",노동·직업,0.88,3
PAOCC16D,"부친 직업_R16세 당시 (KSCO_6, 4자리)",노동·직업,0.88,3
PAOCC16E,"부친 직업_R16세 당시 (KSCO_6, 5자리)",노동·직업,0.88,2
EMPED,응답자 (취업시) 피고용 여부,노동·직업,0.65,4
NUMSUP,응답자 (취업시) 부하직원 수,기타,0.6,3
RINCOM0,"응답자 (취업시) 월평균 근로소득(연속형, 만원)",노동·직업,0.64,4
RINCOME,응답자 (취업시) 월평균 근로소득(범주형),노동·직업,0.64,4
RXTINC,응답자 (취업시) 근로외 소득 유무,노동·직업,0.65,4
RXTINC0,"응답자 (취업시) 월평균 근로외 소득(연속형, 만원)",노동·직업,0.64,4
RXTINCM,응답자 (취업시) 월평균 근로외 소득(범주형),노동·직업,0.64,4
INDUSTRY,응답자 산업 (ISIC_3),기타,0.81,4
INDUS08,응답자 산업 (ISIC_4),기타,0.81,4
INDUS16A,"응답자 산업 (KSIC_9, 1자리)",기타,0.82,4
INDUS16B,"응답자 산업 (KSIC_9, 2자리)",기타,0.81,4
OCC,응답자 직업 (ISCO88),노동·직업,0.84,4
OCC08,응답자 직업 (ISCO08),노동·직업,0.84,4
OCC16A,"응답자 직업 (KSCO_6, 1자리)",노동·직업,0.84,4
OCC16B,"응답자 직업 (KSCO_6, 2자리)",노동·직업,0.84,4
OCC16C,"응답자 직업 (KSCO_6, 3자리)",노동·직업,0.84,4
OCC16D,"응답자 직업 (KSCO_6, 4자리)",노동·직업,0.84,4
OCC16E,"응답자 직업 (KSCO_6, 5자리)",노동·직업,0.84,4
SPINCMR,배우자 취업 여부,기타,0.65,4
