시도명,구시군명,읍면동명,투표구명,후보자,득표수
서울특별시,종로구,거소·선상투표,,선거인수,148
서울특별시,종로구,거소·선상투표,,투표수,140
서울특별시,종로구,거소·선상투표,,더불어민주당 이재명,64
서울특별시,종로구,거소·선상투표,,국민의힘 김문수,44
서울특별시,종로구,거소·선상투표,,개혁신당 이준석,27
서울특별시,종로구,거소·선상투표,,민주노동당 권영국,1
서울특별시,종로구,거소·선상투표,,무소속 송진호,0
서울특별시,종로구,거소·선상투표,,무효 투표수,4
서울특별시,종로구,거소·선상투표,,기권자수,8
서울특별시,종로구,관외사전투표,,선거인수,13110
서울특별시,종로구,관외사전투표,,투표수,13108
서울특별시,종로구,관외사전투표,,더불어민주당 이재명,7527
서울특별시,종로구,관외사전투표,,국민의힘 김문수,3378
서울특별시,종로구,관외사전투표,,개혁신당 이준석,1810
서울특별시,종로구,관외사전투표,,민주노동당 권영국,260
서울특별시,종로구,관외사전투표,,무소속 송진호,12
서울특별시,종로구,관외사전투표,,무효 투표수,121
서울특별시,종로구,관외사전투표,,기권자수,2
서울특별시,종로구,재외투표,,선거인수,2073
서울특별시,종로구,재외투표,,투표수,1592
서울특별시,종로구,재외투표,,더불어민주당 이재명,1033
서울특별시,종로구,재외투표,,국민의힘 김문수,363
서울특별시,종로구,재외투표,,개혁신당 이준석,148
서울특별시,종로구,재외투표,,민주노동당 권영국,37
서울특별시,종로구,재외투표,,무소속 송진호,1
서울특별시,종로구,재외투표,,무효 투표수,10
서울특별시,종로구,재외투표,,기권자수,481
서울특별시,종로구,청운효자동,관내사전투표,선거인수,3190
서울특별시,종로구,청운효자동,관내사전투표,투표수,3190
서울특별시,종로구,청운효자동,관내사전투표,더불어민주당 이재명,2175
서울특별시,종로구,청운효자동,관내사전투표,국민의힘 김문수,689
서울특별시,종로구,청운효자동,관내사전투표,개혁신당 이준석,211
서울특별시,종로구,청운효자동,관내사전투표,민주노동당 권영국,92
서울특별시,종로구,청운효자동,관내사전투표,무소속 송진호,4
서울특별시,종로구,청운효자동,관내사전투표,무효 투표수,19
서울특별시,종로구,청운효자동,관내사전투표,기권자수,0
서울특별시,종로구,청운효자동,청운효자동제1투,선거인수,2074
서울특별시,종로구,청운효자동,청운효자동제1투,투표수,1410
서울특별시,종로구,청운효자동,청운효자동제1투,더불어민주당 이재명,454
서울특별시,종로구,청운효자동,청운효자동제1투,국민의힘 김문수,789
서울특별시,종로구,청운효자동,청운효자동제1투,개혁신당 이준석,117
서울특별시,종로구,청운효자동,청운효자동제1투,민주노동당 권영국,37
서울특별시,종로구,청운효자동,청운효자동제1투,무소속 송진호,1
서울특별시,종로구,청운효자동,청운효자동제1투,무효 투표수,12
서울특별시,종로구,청운효자동,청운효자동제1투,기권자수,664
서울특별시,종로구,청운효자동,청운효자동제2투,선거인수,1731
서울특별시,종로구,청운효자동,청운효자동제2투,투표수,1122
서울특별시,종로구,청운효자동,청운효자동제2투,더불어민주당 이재명,369
서울특별시,종로구,청운효자동,청운효자동제2투,국민의힘 김문수,638
서울특별시,종로구,청운효자동,청운효자동제2투,개혁신당 이준석,79
서울특별시,종로구,청운효자동,청운효자동제2투,민주노동당 권영국,28
서울특별시,종로구,청운효자동,청운효자동제2투,무소속 송진호,0
서울특별시,종로구,청운효자동,청운효자동제2투,무효 투표수,8
서울특별시,종로구,청운효자동,청운효자동제2투,기권자수,609
서울특별시,종로구,청운효자동,청운효자동제3투,선거인수,1852
서울특별시,종로구,청운효자동,청운효자동제3투,투표수,1300
서울특별시,종로구,청운효자동,청운효자동제3투,더불어민주당 이재명,481
서울특별시,종로구,청운효자동,청운효자동제3투,국민의힘 김문수,673
서울특별시,종로구,청운효자동,청운효자동제3투,개혁신당 이준석,96
서울특별시,종로구,청운효자동,청운효자동제3투,민주노동당 권영국,33
서울특별시,종로구,청운효자동,청운효자동제3투,무소속 송진호,3
